Item,Category,Cost_Gold,Stats,Passive_Active,Function_Short,Alias_From_Doc
Starlium Scythe,Magic,1700,"Magic Power +60, Move Speed +?",Starlight: True Damage on skill cast + Move Speed,True damage + move speed pas pakai skill.,
Glowing Wand,Magic,2200,"Magic Power +75, Move Speed +5%",Scorch: burn DoT that also reduces healing received,Cocok buat poke. Tambah burn dan kurangi regen musuh.,
Ice Queen Wand,Magic,2240,"Magic Power +75, Mana +300, Move Speed +10%",Ice Bound: slows on skill hit,Skill kasih efek slow. Enak buat zoning!,
Concentrated Energy,Magic,2020,"Magic Power +70, HP +700, Spell Vamp +25%",Recharge: heals on kill; high Spell Vamp,Tambah sustain lewat lifesteal.,
Holy Crystal,Magic,2180,Magic Power +100,Mystery: amplifies Magic Power scaling,Tambah magic power berdasarkan level. Late game auto sakit!,
Divine Glaive,Magic,1970,Magic Power +65,Spellbreaker: high Magic Penetration scaling vs high MR,Anti magic tank. Magic penetration skala tinggi!,
Clock of Destiny,Magic,1950,"Magic Power +60, HP +615, Mana +600",Time: stacking stats over time (+ burst synergy with Lightning),"Tambah HP, mana, dan scale power. Makin lama makin kuat!",
Feather of Heaven,Magic,2030,"Attack Speed +30%, Magic Power +65, CD Reduction +5%",Incandescence: imbues Basic Attacks with Magic damage,Tambah attack speed + damage magic di basic attack.,
Enchanted Talisman,Magic,1870,"Magic Power +50, Mana Regen +? , CD Reduction +20%",Mana Spring: mana regen overtime (and extra on skill cast),Regen mana + cooldown reduction. Gak takut kehabisan mana!,
Radiant Armor,Defense,2060,"HP +800, HP Regen +12, Magic Defense +52",Holy Blessing: reduces Magic DoT / increases Magic Defense over time,Anti magic burst. Cocok lawan mage.,
Twilight Armor,Defense,2060,"HP +1200, HP Regen +? , Physical Defense +?",Defiance: limits burst damage received,Kurangi damage besar mendadak. Anti burst!,
Brute Force Breastplate,Defense,1970,"HP +550, Physical Defense +50, Magic Defense +10",Brute Force: gain Move Speed and mixed defenses on hit,Tambah move speed + defense tiap kena hit.,Brute Force
Immortality,Defense,2120,"HP +800, Physical Defense +30",Immortal: revive upon death with HP + shield,Hidup lagi setelah mati. Bikin musuh frustrasi 😈,
Dominance Ice,Defense,2010,"Mana +500, Physical Defense +70, CD Reduction +10%",Arctic Cold: reduces enemy Attack Speed and HP Regen (anti-heal aura),Kurangi efek heal + attack speed musuh.,
Athena’s Shield,Defense,,,,Kurangi magic damage + dapat shield pas kena skill mage.,
Oracle,Defense,2060,"HP +850, Magic Defense +42, HP Regen +10, Shield/HP Regen +30% (passive)",Solar Shield: improves Shield and HP Regen effects by 30%,Tambah regen dan shield. Cocok buat sustain tank.,
Antique Cuirass,Defense,2070,"HP +920, Physical Defense +? , HP Regen +?",Deter: reduces enemy Physical ATK after they deal damage to you,Kurangi physical damage masuk. Enak lawan fighter/marksman.,
Guardian Helmet,Defense,1970,"HP +1550, HP Regen +?",Recovery: huge HP regen out of combat,Regen terus pas gak kena hit. Buat roaming keliling map.,
Cursed Helmet,Defense,2000,"HP +1200, Magic Defense +25",Blaze: burns nearby enemies (max HP scaling),Bakar musuh di sekitar otomatis.,
Thunder Belt,Defense,2040,"HP +800, Mana +? , Physical Defense +? , CD Reduction +10%",Thunderbolt: enhanced Basic Attack with true damage + slow after skill,Tambah true damage dan slow abis basic attack.,
Queen’s Wings,Defense,,,,Damage reduction saat sekarat. Bikin comeback!,
Blade Armor,Defense,1960,"Physical Defense +90, Crit DMG Reduction +?",Counterstrike: reflect Basic Attack damage; Crit damage reduction,Refleksikan damage + counter crit.,
Winter Crown,Adaptive,1910,"Magic Power +? , Physical Defense +? , Magic Defense +?",Wintry Trance (Active): stasis/invuln for short duration,Aktif: jadi kebal tapi gak bisa gerak. Cocok buat bait!,
Fleeting Time,Adaptive,2050,"Magic Power +70, CD Reduction +15%",Timestream: reduces Ultimate CD on kill/assist,Pengurangan cooldown ulti pas dapat kill/assist.,
Sky Piercer,Adaptive,2410,"Magic Power +65, CD Reduction +10%",Execution: extra damage to low-HP targets; stacks bonus damage,Eksekusi musuh HP rendah + stack bonus damage!,
Flame Retribution,Jungling,0,,Burning retribution smite that steals Physical/Magic Defense temporarily,Tambah damage + curi def musuh.,
Ice Retribution,Jungling,0,,Frost retribution smite that steals and returns Movement Speed,Curi move speed musuh.,
Bloody Retribution,Jungling,0,,Life retribution smite that steals HP on cast,Curi HP musuh. Cocok buat jungler sustain.,
Encourage,Roaming,0,,Roam Blessing: grants team Attack/AS buff on skill,Tambah buff ke teman: damage + attack speed.,
Favor,Roaming,0,,Roam Blessing: auto-heals/shields the lowest-HP ally when you cast heal/shield,Heal + shield otomatis ke teman paling sekarat.,
Dire Hit,Roaming,0,,Roam Blessing: deal extra damage to low-HP enemies,Tambah hybrid damage ke musuh sekarat.,
Conceal (Aktif),Roaming,,,,Efek kamuflase + move speed selama 5 detik!,
Demon Boots,Movement,720,"Mana Regen +10, Move Speed +40",Mysticism: restore 4% Mana on minion kill/assist,Regen mana pas kill.,
Rapid Boots,Movement,750,"Move Speed +65, Slow Reduction +35%",Side Effect: -25 MS for 5s after dealing/taking damage,"Move speed tertinggi, cocok buat rotasi cepat.",
Swift Boots,Movement,710,"Attack Speed +15%, Move Speed +40",—,Buat serangan cepat. Cocok Marksman.,
Arcane Boots,Movement,690,"Magic Penetration +10, Move Speed +40",—,Tambah magic penetration.,
Magic Boots,Movement,710,"Cooldown Reduction +10%, Move Speed +40",—,Buat spam skill dengan cooldown reduction.,
Tough Boots,Movement,700,"Magic Defense +18, Move Speed +40",Fortitude: -30% CC & slow duration,Lawan CC? Ini solusinya.,
Warrior Boots,Movement,720,"Physical Defense +18, Move Speed +40",Valor: +4 Physical Defense for 3s when hit (stacks to 20),Physical def naik saat kena hit.,
