Role,Hero,PrimaryLane,SecondaryLane,Type,PlayStyle,BuildStyle,BuildVariant,PenType,Patch,Item1,Item2,Item3,Item4,Item5,Item6
Fighter,Jawhead,EXP,-,Mana Fighter,Pick Diver,Burst + CDR,,,1.9.92,Warrior Boots,War Axe,Hunter Strike,Malefic Roar,Brute Force Breastplate,Immortality
Fighter,Badang,EXP,-,Mana Fighter,Wall Burst,Burst + Pen,,,1.9.92,Tough Boots,War Axe,Hunter Strike,Malefic Roar,Blade of Despair,Immortality
Fighter,Bane,Mid,EXP,Mana Fighter-Mage,Poke Mage,AP Burst,,,1.9.92,Arcane Boots,Clock of Destiny,Lightning Truncheon,Genius Wand,Holy Crystal,Immortality
Fighter,Guinevere,EXP,Jungle,Mana Fighter-Mage,Burst Caster,AP Combo,,,1.9.92,Arcane Boots,Clock of Destiny,Lightning Truncheon,Genius Wand,Concentrated Energy,Immortality
Fighter,Phoveus,EXP,Mid,Mana Fighter-Mage,Anti-Dash,AP Sustain,,,1.9.92,Arcane Boots,Clock of Destiny,Lightning Truncheon,Genius Wand,Concentrated Energy,Immortality
Fighter,Silvanna,EXP,Roam,Mana Fighter-Mage,Lockdown,AP Sustain,,,1.9.92,Arcane Boots,Glowing Wand,Concentrated Energy,Genius Wand,Radiant Armor,Immortality
Fighter,Julian,Mid,EXP,Mana Hybrid,Spell Combo,Magic On-hit + Pen,,,1.9.92,Arcane Boots,Feather of Heaven,Genius Wand,Starlium Scythe,Holy Crystal,Divine Glaive
Fighter,X.Borg,EXP,-,Energy Fighter,True Damage Bruiser,Spellvamp Sustain,,,1.9.92,Tough Boots,War Axe,Bloodlust Axe,Brute Force Breastplate,Antique Cuirass,Immortality
Mage,Lunox,Mid,-,Burst Hybrid Mage,Skill Burst / Lifesteal,Burst + Sustain,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Genius Wand,Holy Crystal,Divine Glaive,Immortality
Mage,Yve,Mid,-,Control / Zoner Mage,Poke & Zone,Poke + Area Control,,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Ice Queen Wand,Divine Glaive,Holy Crystal,Immortality
Mage,Valentina,Mid,-,Scaling / Copy Mage,Scaling Burst,Scaling + Sustain,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Lightning Truncheon,Holy Crystal,Divine Glaive,Immortality
Mage,Xavier,Mid,-,Poke / Range Mage,Long Range Poke,Burst + Range,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Lightning Truncheon,Divine Glaive,Holy Crystal,Immortality
Mage,Kagura,Mid,-,Burst Mage,Combo Burst,Burst + AoE,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Lightning Truncheon,Genius Wand,Holy Crystal,Divine Glaive
Mage,Lylia,Mid,-,Spam Mage,Fast DPS Spam,Mobility + Poke,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Feather of Heaven,Genius Wand,Holy Crystal,Divine Glaive
Mage,Pharsa,Mid,-,Burst / Zoner Mage,Aerial Poke,Long Range Zoning,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Ice Queen Wand,Divine Glaive,Holy Crystal,Immortality
Mage,Cecilion,Mid,-,Scaling Mage,Late Game Sustain,Scaling + Burst,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Lightning Truncheon,Holy Crystal,Divine Glaive,Immortality
Mage,Vale,Mid,-,Burst / Utility Mage,Combo CC,Burst + Utility,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Lightning Truncheon,Genius Wand,Holy Crystal,Divine Glaive
Mage,Harith,Mid,EXP,Mobility Mage,Sustain DPS,Magic DPS + Lifesteal,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Feather of Heaven,Concentrated Energy,Holy Crystal,Divine Glaive
Mage,Harley,Mid,Jungle,Assassin Mage,Burst Pick,Single Target Burst,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Genius Wand,Divine Glaive,Holy Crystal,Immortality
Mage,Chang’e,Mid,-,Poke / Push Mage,Spam Poke,Zone + Push,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Ice Queen Wand,Divine Glaive,Holy Crystal,Immortality
Mage,Cyclops,Mid,-,Spam / Mobility Mage,Constant DPS,Spam + Mobility,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Feather of Heaven,Genius Wand,Holy Crystal,Divine Glaive
Mage,Gord,Mid,-,Beam / Zoner Mage,Long Range Beam,Burst + Zone,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Ice Queen Wand,Divine Glaive,Holy Crystal,Immortality
Mage,Vexana,Mid,-,Summon / Control Mage,CC & Summon,Utility + Control,,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Ice Queen Wand,Divine Glaive,Holy Crystal,Immortality
Mage,Aurora,Mid,-,Burst / Freeze Mage,Freeze Combo,Burst + CC,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Lightning Truncheon,Genius Wand,Holy Crystal,Divine Glaive
Mage,Kadita,Mid,Roam,Assassin / Burst Mage,Dive Burst,Anti-Dive Burst,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Genius Wand,Divine Glaive,Holy Crystal,Immortality
Mage,Odette,Mid,-,Burst AoE Mage,Teamfight Burst,AoE Burst,,Magic Pen,1.9.92,Arcane Boots,Enchanted Talisman,Lightning Truncheon,Genius Wand,Holy Crystal,Divine Glaive
Mage,Luo Yi,Mid,Roam,Utility / Support Mage,CC Utility,Support + Magic Pen,,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Ice Queen Wand,Genius Wand,Divine Glaive,Immortality
Mage,Nana,Mid,Roam,Support / CC Mage,CC + Poke,CC + Magic Damage,,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Ice Queen Wand,Divine Glaive,Holy Crystal,Immortality
Mage,Zhask,Mid,-,Summoner Mage,Push / Summon,Push + Poke,,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Ice Queen Wand,Divine Glaive,Holy Crystal,Immortality
Mage,Alice,EXP,Mid,Sustain / Lifesteal Mage,Sustain Teamfight,Hybrid Defense + Magic Lifesteal,,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Clock of Destiny,Holy Crystal,Oracle,Immortality
Marksman,Wanwan,Gold,-,On-hit / Mobile DPS,Kite & outplay,Trinity + WoN,,Malefic Roar,1.9.92,Swift Boots,Corrosion Scythe,Demon Hunter Sword,Golden Staff,Wind of Nature,Malefic Roar
Marksman,Beatrix,Gold,-,Adaptive Burst,Weapon swap burst,Burst + Survivability,,Malefic Gun,1.9.92,Swift Boots,Blade of Despair,Hunter Strike,Malefic Gun,Wind of Nature,Endless Battle
Marksman,Brody,Gold,-,Burst Poke,Single-hit trades,Burst + Pen,,Malefic Gun,1.9.92,Swift Boots,Hunter Strike,Malefic Gun,Blade of Despair,Wind of Nature,Endless Battle
Marksman,Bruno,Gold,-,Crit Carry,Poke then all-in,Crit + Pen,,Malefic Gun,1.9.92,Swift Boots,Berserker's Fury,Windtalker,Malefic Gun,Blade of Despair,Wind of Nature
Marksman,Clint,Gold,-,Burst Crit,Skill + basic burst,Crit + Pen,,Malefic Gun,1.9.92,Swift Boots,Berserker's Fury,Windtalker,Malefic Gun,Blade of Despair,Wind of Nature
Marksman,Granger,Jungle,Gold,Skill Burst,Rhapsody poke,CDR/Pen + Burst,,Malefic Gun,1.9.92,Swift Boots,Hunter Strike,Malefic Gun,Blade of Despair,Endless Battle,Wind of Nature
Marksman,Karrie,Gold,-,Anti-tank / On-hit,Front-to-back DPS,AS Trinity,,Malefic Roar,1.9.92,Swift Boots,Demon Hunter Sword,Corrosion Scythe,Golden Staff,Malefic Roar,Wind of Nature
Marksman,Moskov,Gold,-,On-hit / Teamfight,Skewer teamfight,AS Trinity,,Malefic Roar,1.9.92,Swift Boots,Corrosion Scythe,Demon Hunter Sword,Golden Staff,Malefic Roar,Wind of Nature
Marksman,Irithel,Gold,-,Crit / Mobility,Drive-by DPS,Crit + Survivability,,Malefic Gun,1.9.92,Swift Boots,Windtalker,Berserker's Fury,Malefic Gun,Wind of Nature,Blade of Despair
Marksman,Hanabi,Gold,-,On-hit / Sustain,Shielded DPS,AS Trinity + WoN,,Malefic Roar,1.9.92,Swift Boots,Corrosion Scythe,Demon Hunter Sword,Golden Staff,Malefic Roar,Wind of Nature
Marksman,Layla,Gold,-,Crit Backline,Long-range DPS,Crit + Pen,,Malefic Gun,1.9.92,Swift Boots,Berserker's Fury,Windtalker,Malefic Gun,Blade of Despair,Wind of Nature
Marksman,Miya,Gold,-,On-hit / Split,Split push DPS,AS Trinity + Pen,,Malefic Roar,1.9.92,Swift Boots,Corrosion Scythe,Demon Hunter Sword,Golden Staff,Malefic Roar,Wind of Nature
Marksman,Lesley,Gold,-,One-shot Crit,Snipe/Poke,High Crit + Pen,,Malefic Gun,1.9.92,Swift Boots,Berserker's Fury,Malefic Gun,Blade of Despair,Windtalker,Wind of Nature
Marksman,Popol and Kupa,Gold,Roam,On-hit Utility,Pet pressure,AS Trinity + Pen,,Malefic Roar,1.9.92,Swift Boots,Corrosion Scythe,Demon Hunter Sword,Golden Staff,Malefic Roar,Wind of Nature
Marksman,Yi Sun-shin,Jungle,Gold,Hybrid Assassin/MM,Objective control,Burst + Pen,,Malefic Gun,1.9.92,Swift Boots,Hunter Strike,Endless Battle,Malefic Gun,Blade of Despair,Wind of Nature
Marksman,Natan,Mid,Gold,Magic On-hit,Kite/AP DPS,Magic AS + Pen,,Magic Pen,1.9.92,Arcane Boots,Feather of Heaven,Genius Wand,Starlium Scythe,Divine Glaive,Holy Crystal
Marksman,Kimmy,Mid,Gold,Magic DPS,Kite/AP On-hit,Magic DoT + Slow,,Magic Pen,1.9.92,Arcane Boots,Glowing Wand,Ice Queen Wand,Starlium Scythe,Divine Glaive,Holy Crystal
Marksman,Melissa,Gold,-,On-hit Peel,Anti-dive,AS Trinity + WoN,,Malefic Roar,1.9.92,Swift Boots,Corrosion Scythe,Demon Hunter Sword,Golden Staff,Malefic Roar,Wind of Nature
Marksman,Ixia,Gold,-,On-hit Beam,Teamfight beam,AS Trinity + Pen,,Malefic Roar,1.9.92,Swift Boots,Corrosion Scythe,Demon Hunter Sword,Golden Staff,Malefic Roar,Wind of Nature
Marksman,Claude,Gold,Jungle,On-hit Mobility,Blazing Duet farm,AS Trinity + WoN,,Malefic Roar,1.9.92,Swift Boots,Demon Hunter Sword,Golden Staff,Corrosion Scythe,Malefic Roar,Wind of Nature
Marksman,Roger,Jungle,Gold,Hybrid Fighter/MM,Chase/Execute,AS + Lifesteal + Pen,,Malefic Gun,1.9.92,Warrior Boots,Windtalker,Haas's Claws,Blade of Despair,Malefic Gun,Endless Battle
Marksman,Obsidia,Gold,-,Crit Scaling,Stack-based DPS,Full Crit + Pen,,Malefic Gun,1.9.92,Swift Boots,Berserker's Fury,Windtalker,Malefic Gun,Blade of Despair,Wind of Nature
Support,Estes,Roam,Mid,Healer Support,Teamfight sustain / global heal,CDR + Heal + Tankiness,Healer,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Oracle,Dominance Ice,Athena's Shield,Immortality
Support,Floryn,Roam,Gold,Healer / Buffer,Backline poke + heal share,CDR + Heal + Utility,Healer,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Oracle,Ice Queen Wand,Dominance Ice,Immortality
Support,Rafaela,Roam,Mid,Healer / MS Support,Poke + MS + sustain,CDR + Heal + Slow,Healer,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Ice Queen Wand,Dominance Ice,Athena's Shield,Immortality
Support,Angela,Roam,Mid,Attach Support,Follow-up engage ulti,CDR + Shield + Utility,Utility,Magic Pen,1.9.92,Demon Shoes,Enchanted Talisman,Fleeting Time,Ice Queen Wand,Oracle,Immortality
Support,Diggie,Roam,Mid,Anti-CC Support,Counter CC + vision,CDR + Tank Utility,Utility,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Fleeting Time,Dominance Ice,Athena's Shield,Immortality
Support,Carmilla,Roam,EXP,Bruiser Support,AOE slow + damage share,Tank + Magic Utility,Bruiser,Magic Pen,1.9.92,Tough Boots,Dominance Ice,Oracle,Ice Queen Wand,Antique Cuirass,Immortality
Support,Mathilda,Roam,Mid,Mobility Support,Engage/disengage + shield,Hybrid Damage + Utility,Utility,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Ice Queen Wand,Dominance Ice,Athena's Shield,Immortality
Support,Faramis,Roam,Mid,Ult Utility Support,Revive / anti-burst,CDR + HP + Magic Pen,Burst Utility,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Fleeting Time,Dominance Ice,Divine Glaive,Immortality
Support,Chip,Roam,-,Macro Utility Support,Portal rotation + CC,CDR + Tank Utility,Utility,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Fleeting Time,Dominance Ice,Athena's Shield,Immortality
Support,Kaja,Roam,EXP,Pick-off Support,Single target suppress,Burst + Utility,Burst,Magic Pen,1.9.92,Tough Boots,Enchanted Talisman,Genius Wand,Divine Glaive,Dominance Ice,Immortality
Tank,Tigreal,Roam,-,Pure Tank,Initiator / AoE CC,Full Defense,,,1.9.92,Tough Boots,Dominance Ice,Antique Cuirass,Athena's Shield,Blade Armor,Immortality
Tank,Atlas,Roam,-,Pure Tank,Engage / Flicker Combo,Full Defense,,,1.9.92,Tough Boots,Dominance Ice,Antique Cuirass,Guardian Helmet,Athena's Shield,Immortality
Tank,Khufra,Roam,-,Pure Tank,Anti-Dash / Counter Engage,Defense + Anti-Burst,,,1.9.92,Tough Boots,Dominance Ice,Antique Cuirass,Athena's Shield,Blade Armor,Immortality
Tank,Franco,Roam,-,Pick-Off Tank,Hook Control / Single Lock,Defense + Utility,,,1.9.92,Rapid Boots,Dominance Ice,Athena's Shield,Antique Cuirass,Blade Armor,Immortality
Tank,Lolita,Roam,Support,Shield Support Tank,Projectile Counter / Team Shield,Defense + Magic Res,,,1.9.92,Tough Boots,Dominance Ice,Athena's Shield,Antique Cuirass,Radiant Armor,Immortality
Tank,Johnson,Roam,Mid-Rotation,Magic Tank,Engage / Map Roaming,Hybrid (Magic + Defense),,,1.9.92,Tough Boots,Glowing Wand,Dominance Ice,Athena's Shield,Ice Queen Wand,Immortality
Tank,Baxia,Jungle,EXP,Anti-Heal Tank,Rolling Sustain / Mobility,HP Regen + Anti-Heal,,,1.9.92,Tough Boots,Cursed Helmet,Guardian Helmet,Dominance Ice,Athena's Shield,Immortality
Tank,Akai,Jungle,Roam,Disruptor Tank,CC Zone / Knockback,Jungle HP Regen,,,1.9.92,Tough Boots,Cursed Helmet,Guardian Helmet,Antique Cuirass,Athena's Shield,Immortality
Tank,Uranus,EXP,-,Regen Tank,Sustain Lane / Poke,HP Regen + Magic Res,,,1.9.92,Tough Boots,Dominance Ice,Antique Cuirass,Oracle,Athena's Shield,Immortality
Tank,Grock,Roam / EXP,-,Aggro Tank,Wall Control / Burst Early,Hybrid Defense,,,1.9.92,Tough Boots,Dominance Ice,Antique Cuirass,Athena's Shield,Guardian Helmet,Immortality
Tank,Barats,Jungle / EXP,-,Scaling Tank,HP-Based Fighter / CC,Hybrid Defense + CDR,,,1.9.92,Tough Boots,War Axe,Dominance Ice,Antique Cuirass,Athena's Shield,Immortality
Tank,Gloo,EXP,Roam,Split Tank,Stick Target / Regen,HP Regen + Magic Def,,,1.9.92,Tough Boots,Glowing Wand,Oracle,Radiant Armor,Dominance Ice,Immortality
Tank,Gatotkaca,EXP,Roam,Hybrid Fighter-Tank,AoE CC / Magic Burst,Defense + Magic Hybrid,,,1.9.92,Tough Boots,Dominance Ice,Antique Cuirass,Athena's Shield,Glowing Wand,Immortality
Tank,Belerick,Roam / EXP,-,Reflect Tank,HP Reflect / Sustain,HP Stack + Regen,,,1.9.92,Tough Boots,Antique Cuirass,Athena's Shield,Guardian Helmet,Cursed Helmet,Immortality
Tank,Minotaur,Roam,Support,Rage Tank,Heal / CC Team Fight,Full Defense,,,1.9.92,Tough Boots,Dominance Ice,Antique Cuirass,Athena's Shield,Guardian Helmet,Immortality
Tank,Hylos,Roam / EXP,-,HP Tank,Aura Slow / Path Control,HP Regen + Utility,,,1.9.92,Tough Boots,Guardian Helmet,Antique Cuirass,Oracle,Dominance Ice,Immortality
Tank,Edith,EXP,-,Hybrid Fighter-Tank,Marksman Mode / Defense Scaling,Hybrid Attack-Defense,,,1.9.92,Tough Boots,War Axe,Dominance Ice,Antique Cuirass,Athena's Shield,Immortality
Tank,Esmeralda,EXP,Mid,Shield-Mage Tank,Shield Steal / Sustain,Magic Defense + Regen,,,1.9.92,Tough Boots,Dominance Ice,Oracle,Radiant Armor,Athena's Shield,Immortality
Tank,Fredrinn,Jungle / EXP,-,Combo Fighter-Tank,Stack Combo Damage / Sustain,Hybrid Fighter Defense,,,1.9.92,Tough Boots,War Axe,Dominance Ice,Cursed Helmet,Antique Cuirass,Immortality
Tank,Alice,EXP / Mid,-,Mage Tank,Lifesteal / Mana Sustain,Magic Regen + Defense,,,1.9.92,Tough Boots,Glowing Wand,Dominance Ice,Oracle,Radiant Armor,Immortality
